,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
144,LALIQUE,Lalique,541,249,100,EDP,Women,Woody,"White Musk,Sandalwood,Vanilla","Blackberry,Cassis,Pear",4.4,Faces,3.9,61
145,Franck Olivier,Oud Touch,93,93,100,EDP,Men,Woody,"Amber, Musk And Vanilla","Violet, Patchouli, Rose, Jasmine And Olibanum",5,Faces,3.9,61
146,TOMMY HILFIGER,Tommy,340,130,100,EDT,Men,Spicy,"Amber, Cactus, Cotton Plant Blossom","Apple, Cranberries, Rose",5,Faces,3.9,61
147,Elizabeth Arden,5th Avenue,155,93,75,EDP,Women,Floral,"Amber, Tibetan Musk, Sandalwood, Iris and Vanilla","Bulgarian Pink Violet, Ylang-ylang, Jasmine, Indian Tuberose, Peach, Carnation and Nutmeg",4,Ryhana Perfume,4.2,25
148,ELIE SAAB,Girl Of Now,561,250,90,EDP,Women,Floral,"Patchouli,Cashmeran,Tonka bean, Almod milk","Orange Blossom,Magnoli,Almond",4.5,Beuatyone1,3.5,98
149,PACO RABANNE,One Million,426,287.95,200,EDT,Men,Woody,Blonde Leather Patchouli White Woods Amber,Rose Absolute And Cinnamon Spices,5,noon100  % original genuine product,4.2,98.1K
150,Calvin Klein,Euphoria,289,94.55,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood And Suede","Black Basil, Sage And Cedar",4.7,Star.perfume,3.9,537
151,cacharel,Noa,299,154.75,100,EDT,Women,Fresh,"Woodsy transparent with coffee, incense touches","White flowers, ylang-ylang, rose",4.5,Star.perfume,3.9,537
152,GUESS,Seductive Homme,134,91.75,100,EDT,Men,Spicy,"Musk, Sandalwood, Patchouli, Amber","Vetiver, Violet Leaf, Orchid",4.5,Star.perfume,3.9,537
153,Al Fakhr,Ameer Al Oud Khususi,28,12,100,EDP,Unisex,"Woody, Sweet","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.1,kikup,3.9,425
154,Alrehab,Anfas Aloud,215,85.5,60,EDP,Unisex,Arabian,oud,bergamot,5,Parisian Store,3.7,425
155,Givenchy,Pour Homme,219,117,100,EDT,Men,Spicy,"Labdanum, Ceder","Vetiver, Lavender",4.4,Al-Najm,3.7,347
156,Rasasi,Blue,36.95,36.95,100,EDT,Men,Spicy,"Amber, Woody","Geranium, Rose, Coriander, Pepper, Jasmine",5,hadayiq baris,3.8,122
157,GIORGIO ARMANI,Eau Pour Homme Reno 2013,361,186,50,EDT,Men,Citrus,"Patchouli, Oakmoss and Sandalwood","Cloves, Lily and Nutmeg",4.7,MOON LIGHT,3.8,76
158,LACOSTE,Touch Of Pink,238,95,50,EDT,Women,Floral,"Woodsy-Musk Base, Vanilla","Jasmine, Unexpected Carrot, And Spicy Coriander",4.6,Cute Shop,4.4,59
159,GUESS,Gold,341,119,75,EDP,Women,Floral,"Sandalwood, Patchouli, Amber, Vetiver And Sensual Musk","Jasmine, Lotus And Intoxicating Seductress Rose",4.9,Beautiful Live,4.2,7
160,BVLGARI,Goldea The Roman Night,530,229.25,75,EDP,Women,Floral,"Patchouli,Black Musk,Vetiver,Moss","Black Peony,Night-Blooming Jasmine,Rose,Tuberose",4.7,noon,4.2,98.1K
161,LACOSTE,Lacoste,368,115,100,EDT,Men,Citrus,"Cedar, Woody Notes, Amber, Vanilla And Musk","Black Pepper, Ginger, Jasmine And Almond",4.6,noon,4.2,98.1K
162,Guerlain,Samsara,400,221.45,100,EDP,Women,Arabian,"Sandal Wood, Vanilla, Tonka Bean, Amber and Musk","Jasmine, Cold Woodsy Iris, Luscious Narcissus, Violet and Rose",4.7,noon,4.2,98.1K
163,HUGO BOSS,The Scent,535,155,100,EDP,Women,Fruity,Cacao,Osmanthus,4.5,noon,4.2,98.1K
164,JAGUAR,Classic Gold,118,79.95,100,EDT,Men,Woody,"Patchouli,Vanilla,Musk","Orange Blossom,Teak Wood",4.7,Star.perfume,3.9,537
165,Franck Olivier,Frank Olivier,139,87,75,EDP,Women,Musk,"Musk, Sandalwood, Vanilla","Jasmine, Ylang-Ylang, Heliotrope, Rose",4.7,AMLAQ,3.9,135
166,CHOPARD,Happy Spirit Forever,440,98.1,75,EDP,Women,Oriental,Patchouli And Amber,"Rosemary, Jasmine And Orange Blossom",4.9,AMLAQ,3.9,135
167,PACO RABANNE,Million,295,166.5,50,EDP,Women,Fresh,Honey and Patchouli,Orange Flower Absolute and Jasmine Absolute,5,Number One,4.3,118
168,Pino Silvestre,Pino Silvester Original,72.5,72.5,125,EDT,Men,Woody,"Amber, Cedar, Musk, Tonka Beans and Moss","Spicy Notes Of Carnation, Nutmeg, Geranium, Thyme and Fir Tree",5,neo lek,3.5,88
169,MONTALE,Roses Musk,375,237.9,100,EDP,Women,Floral,Musk,Jasmine,5,Lolita ShopNo Exchange or Return,3.5,75
170,Kenneth Cole,Black,315,177.9,100,EDT,Men,Floral,"Amber, Musk, Violet Leaf And Suede","Nutmeg, Incense, Cedar, Lotus And Exotic Woods",4.5,Alabeer,3.9,33
171,Calvin Klein,Intense Euphoria,290,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4,noon,4.2,98.1K
172,MONTBLANC,Legend,445,214.55,200,EDT,Men,Spicy,Sandalwood and Tonka Bean,"Coumarin, Oak moss, Geranium, Rose, Red Apple and Dried Fruits",4.5,noon,4.2,98.1K
173,Calvin Klein,Obsession,231,120,125,EDT,Men,Spicy,"Amber, Sandalwood, Patchouli, Vanilla And Musk","Brazilian Rosewood, Sage, Myrrh, Pine Tree And Nutmeg",3,noon,4.2,98.1K
174,Lattafa,Sheikh Al Shuyukh,63,32.75,50,EDP,Unisex,Aromatic,"Vetiver, Patchouli","Lavender Sage, Rosemary",4.8,noon,4.2,98.1K
175,Dolce & Gabbana,The One,100,100,75,EDP,Women,Fruity,"Tobacco, Amber, Cedar","Orange Blossom, Ginger, Cardamom",5,Asrar Aljamal,3.9,537
176,Kenzo,World Intense,500,149.75,75,EDP,Women,Spicy,Vanilla,"Jasmine, Peony",4,Star.perfume,3.9,537
177,Dolce & Gabbana,L' Imperatrice 3,370,157.7,100,EDT,Women,Fruity,"Lemon Tree, Musk, Sandalwood","Watermelon, Cyclamen, Jasmine",4.7,AMLAQ,3.9,135
178,JAGUAR,Vision II,141,73.8,100,EDT,Men,Fruity,"Cedar, Musk, Patchouli, Wood","Geranium, Pepper, Sea Notes",5,Parvant Store,3.5,76
179,Mariah Carey,Forever,197,126,100,EDP,Women,Floral,"Musk, Wood","Gardenia, Tuberose",4,perfumes--addresses,4.4,59
180,BURBERRY,Brit Splash,278,194,100,EDT,Men,Fresh,"Moss, Musk, Vetiver","Cyclamen, Violet, Water Notes",4.6,Chansles,3.9,33
181,PRADA,Amber Intense,324,321.95,100,EDP,Men,Spicy,Creamy Amber,Vanilla,4.4,Ryhana Perfume,4.2,25
182,Milton Lloyd,Hawaii London,51,23,55,EDT,Women,Floral,Woody Notes and Musk,Jasmine and Rose,4,hawas,4.2,9
183,Lattafa,Khalis Pure Oudi,68,37,100,EDP,Unisex,Woody,"Amber, Cedar, Guaiac Wood, Musk, Vanilla","Jasmine, Sandalwood",4.3,noon,4.2,98.1K
184,GUESS,Marciano,111,83.3,100,EDP,Women,Citrus,"Vanilla, Musk And Woody Accords","Floral Rhythm Of Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",4.4,Star.perfume,3.9,537
185,DORALL COLLECTION,Oud Arabi,11.35,11.35,100,PDT,Unisex,Woody,"Patchouli, sandalwood, musk, amber","Oudh, rose, guaiac wood, jasmine",3.9,Princess of beauty,3.8,467
186,COACH,Coach,36,8.7,2,EDP,Women,Floral,"Cashmeran, Suede, Musk","Turkish Rose, Gardenia",4.8,top langri,3.7,347
187,Mancera,Coco Vanille,446,285,120,EDP,Women,Vanilla,"White Musk, Woody Notes, Madagascar Vanilla","Jasmine, Ylang-Ylang, Tiare Flower",5,AMLAQ,3.9,135
188,BURBERRY,Weekend,197,160,100,EDP,Women,Oriental,"Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen and Blue Hyacinth","Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen, Blue Hyacinth",4.6,AMLAQ,3.9,135
189,Estee Lauder,Private Collection,461,199.35,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber and Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang and Coriander",4.6,Rose Gallary,3.9,118
190,Marbert,Man Pure,114,54.7,125,EDT,Men,Citrus,"Oak Moss, Cedar, Sandalwood, Amber And Musk","Geranium, Jasmine, Lily Of The Valley, Majorjam, Coriander And Nutmeg",4.9,Rayhanti,3.8,88
191,AMOUAGE,Gold,1376,904.85,100,EDP,Women,Woody,"Ambergris, Civet, Musk, Cedar Wood, Sandalwood","Myrrh, Orris, Jasmine",4.4,Parvant Store,3.8,76
192,Givenchy,Gentlemen Only,627,260,100,EDT,Men,Woody,Skin Accord And Tonka Bean,"Cedar Wood, Patchouli Heart And Leather",4,Faces,3.9,61
193,JAGUAR,Classic Amber,87,85,100,EDT,Men,Arabian,"Cedar Wood, Patchouli, Vanilla, Leather, Vetiver, Labdanum and Musk","Cinnamon,Black Pepper,Apple,Orange Blossoms and Elemi Resin",4.3,Abu Al Tayyeb Perfumes,3.9,33
194,AIGNER,Debut,220,143.75,100,EDP,Women,Citrus,"Patchouli, Cedar, Vanilla, White Musk And Oak Moss","Luminous Orange Blossom, Water Lily, Jasmine And Sunflower Seed",4.5,noon,4.2,98.1K
195,J.CASANOVA,Pandora,142,88.95,100,EDP,Women,Floral,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",5,noon,4.2,98.1K
196,Roberto Cavalli,Serpentine,286,162.85,100,EDP,Women,Arabian,"Tolu Balsam, Sandalwood, Amber","Violet Leaf, Tiare Flower, Pepper, Frangipani",4.4,noon,4.2,98.1K
197,BVLGARI,Man in Black,483,200.95,100,EDP,Men,Woody,"Benzoin, Guaiac Wood and Tonka Beans","Iris, Leather and Tuberose",4.7,Star.perfume,3.9,537
198,MONTBLANC,Lady Emblem,8.5,8.5,2,EDT,Men,Floral,"Vanilla, Amber, Musk, and Patchouli","Jasmine, Geranium, Neroli and Ylang-Ylang",5,Queen Beauty,3.8,467
199,Al Fakhr,Ameer Al Oud Khususi,28,12,100,EDP,Unisex,"Woody, Sweet","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.1,kikup,3.6,425
200,LACOSTE,Touch Of Pink,249,90,90,EDT,Women,Floral,"Sandalwood, Musk, Vanilla","Carrot Seeds, Coriander, Jasmine, Violet Leaf, Cardamom",5,Cute Shop,3.7,347
201,Dior,Addict,715,333.8,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood and Pralines","Honeysuckle, Gardenia, and Jasmine",5,AMLAQ,3.9,135
202,BURBERRY,My Burberry Bl,699,255.85,90,EDT,Women,Floral,Amber And Patchouli,Candied Rose And Peach Nectar,5,AMLAQ,3.9,135
203,joop,Homme,170,52.15,75,EDT,Men,Citrus,"Sandalwood, Tonka Bean, Patchouli, Vanilla","Jasmine, Heliotrope, Lily-Of-The-Valley, Cardamom, Cinnamon",4.7,hadayiq baris,3.8,122
204,TED LAPIDUS,Creation,101,50,100,EDT,Women,Floral,"Jasmine, Rose, Tuberose, Carnation","Jasmine, Rose, Tuberose, Carnation",4.7,alkhalijiah  perfume,3.5,88
205,LOEWE,Esencia,230,219.9,150,EDT,Men,Woody,"Tonka Bean,Leather,Sandalwood,Fir,Amber,Patchouli,Musk,Oakmoss,Vetiver,Cedar,Styrax","Clary Sage,Nutmeg,Basil,Jasmine,Neroli,Lily Of The Valley,Rose,Pine Tree Needles,Geranium,Black Currant",5,Y,3.5,75
206,Benetton,Hot,124,29.85,100,EDT,Women,Fruity,"Sandalwood, Amber, Musk, Vanilla, Oak Moss And Cedar","Apricot, Iris, Water Jasmine And Lily Of The Valley",5,Beauty Gallery,3.7,59
207,KORLOFF,In White,100.15,100.15,88,EDT,Men,Citrus,"Cashmeran, Virginia Cedar, Musk and Tonka Bean","Lavender, African Orange Flower and Clary Sage",4.8,noon,4.2,98.1K
208,LACOSTE,Lacoste,310,98.95,50,EDP,Women,Floral,"Himalayan Cedar, Warm Woman Skin Accord, Sandal and Incense",Heliotrope and Jasmine In An Alliance with Hibiscus Blossom and Bulgarian Rose,4.6,noon,4.2,98.1K
209,LACOSTE,Lacoste,368,115,100,EDT,Men,Citrus,"Cedar, Woody Notes, Amber, Vanilla And Musk","Black Pepper, Ginger, Jasmine And Almond",4.6,noon,4.2,98.1K
210,Sedr Al-Khaleej Perfumes,Love Touch,111,49.85,100,EDP,Women,Fresh,"Woody Leather, Musk","Tiare Flower, Rose",5,noon,4.2,98.1K
211,BURBERRY,My Burberry Blush,699,199.9,90,EDP,Women,Arabian,Jasmine and Wisteria,"Rose petals, Green apple and Geranium",4.5,noon,4.2,98.1K
212,Lattafa,Rouat Al Oud,144,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli and Vetiver, Musk",Cardamom and Spicy Notes,4.3,noon,4.2,98.1K
213,LANVIN,Rumeur,154,71,100,EDP,Women,Floral,"Amber, Patchouli, Musk","Orange Blossom, Plum, Rose, Jasmine, Lily Of The Valley",5,top langri,3.7,347
214,GUCCI,Oud,690,380,75,EDP,Women,Spicy,Natural Oud Oil And Patchouli,Bulgarian Rose And Orange Flower,4.2,AMLAQ,3.9,135
215,CHLOE,Love Story,383,237,50,EDP,Men,Floral,"Sandalwood, Amber, Musk, Vetiver and Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley and Geranium",4,hadayiq baris,3.8,122
216,TED LAPIDUS,Rumba,111,58,100,EDT,Women,Floral,"Ambergris, vanilla, leather tonka bean, patchouli, musk, sandalwood, cedar, plum, styrax, oakmoss","Honey, jasmine, tuberose, carnation, heliotrope, magnolia, gardenia lily of the valley, orchid, marigold, rose",3.3,hadayiq baris,3.8,122
217,AMOUAGE,Honour,1607,710.95,100,EDP,Women,Spicy,"Patchouli, Cedar, Vetiver, Frankincense, Musk, Tonka Bean","Geranium, Elemi, Nutmeg",5,rich&light,3.8,66
218,Jimmy Choo,jimmy,441,188.95,100,EDP,Women,Floral,"Coffee, patchouli",Orchid,5,Faces,3.9,61
219,Rasasi,Blue,53,35,100,EDT,Men,Spicy,"Amber, Woody","Coriander, Geranium, Jasmine, Rose and Pepper",4.3,hawas,4.2,9
220,Dunhill,Desire Silver,192,118.95,100,EDT,Men,Floral,"Birch, Vetiver, Amber","Water Notes, Violet Leaf, Cardamom",5,noon,4.2,98.1K
221,Calvin Klein,Euphoria Amber Gold,327,166,100,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,5,noon,4.2,98.1K
222,Britney Spears,Fantasy,189,89.95,100,EDP,Women,Floral,"Creamy Musk, Orris Root, Sensual Woods","Cupcakes, White Chocolate Orchid, Jasmine Petals",5,noon,4.2,98.1K
223,GUCCI,Guilty Absolute,515,299.85,90,EDP,Men,Woody,Woody Notes and Vetiver,Patchouli and Cypress,4.3,noon,4.2,98.1K
224,joop,Homme,170,57,125,EDT,Men,Citrus,"Patchouli, sandalwood, tonka beans, vanilla","Cardamom, cinnamon, heliotrope, jasmine, lily of the valley",4.2,Cute Shop,4.2,98
225,Calvin Klein,Obsession,231,120,125,EDT,Men,Spicy,"Amber, Sandalwood, Patchouli, Vanilla And Musk","Brazilian Rosewood, Sage, Myrrh, Pine Tree And Nutmeg",3,noon,4.2,98.1K
226,GUESS,Guess Pink,105,92.7,75,EDP,Women,Fruity,"Amber, Oakmoss And Cedar","Peony, Magnolia, Freesia, Peach, Jasmine, Ylang Ylang And Lily Of The Valley",5,the beauty,4.1,538
227,Calvin Klein,One Shock,383,104.7,200,EDT,Men,Spicy,"Vetiver, Sandalwood, Amber","Osmanthus, Black Pepper, Cardamom, Black Basil",5,AMLAQ,3.9,135
228,Lancome,Idol,739,299,50,EDP,Women,Floral,"White Musk, Vanilla","Turkish Rose, Rose De Mai Indian and Jasmine",5,hadayiq baris,3.8,122
229,Dolce & Gabbana,The Only One 2,614,137.9,100,EDP,Women,Floral,"Tonka, Patchouli, Ambergris, Amber Woods","Red Rose, Violet, Coffee",4.3,hadayiq baris,3.8,122
230,CARTIER,Declaration,390,240,100,EDP,Men,Fruity,"Cedar, Leather, Amberwood, BenzoinTolu,  Balsam Vetiver","Cardamom, Spices, Cumin",5,PARFUM.1990,3.6,111
231,Marbert,Man,51.95,51.95,125,EDT,Men,Woody,"Musk, Sandalwood, Patchouli, Oak Moss, Virginia Cedar, Amber and Leather","Geranium,Jasmine,Lily Of The Valley,Majorjam,Coriander,Nutmeg",5,neo lek,3.5,88
232,Calvin Klein,One Shock,176,106,200,EDT,Men,Spicy,"Musk, Patchouli, Amber, and Tobacco","Black Pepper, Lively Black Basil and Resinous Cardamom",5,Dior Fragrances,3.9,69
233,BURBERRY,Brit Rhythm Intense,370,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K
234,UNITED COLORS OF BENETTON,Cold Silver,72,29.35,100,EDT,Men,Fresh,"Silver Moss, Mineral Amber and Musk","Cardamom, Silver Sage and Driftwood",4.8,noon,4.2,98.1K
235,Lancome,Miracle,514,242,100,EDP,Women,Arabian,"Amber, Musk, Jasmine","Magnolia, Ginger, Mandarin Orange, Pepper, Jasmine",5,Parfume-Stor,4.2,98
236,CHOPARD,Rose Malaki,520,189.95,80,EDP,Women,Spicy,"Cedarwood, Patchouli and Vanilla","Rose Absolu, Rose Petal Accord and Smoky Leather",4.3,noon,4.2,98.1K
237,LACOSTE,Blanc Pour Homme,356,95,100,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,5,Cute Shop,3.9,537
238,JAGUAR,Classic Red,64.95,64.95,100,EDT,Men,Fruity,"Patchouli, Cedar, Amber, Tonka, Vanilla","Jasmine, Pepper, Ozonic Notes",4.4,Star.perfume,3.9,537
239,Lancome,La Vie Est Belle,465,233.95,50,EDP,Women,Floral,"Patchouli, Tonka Bean, Vanilla, Praline","Iris, jasmine, Orange Blossom",5,Grass gulf,3.9,537
240,Givenchy,Dahlia Divin Nude,549,300,75,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",4.5,Beautify,3.6,531
241,Dolce & Gabbana,The One,299,190,100,EDT,Men,Spicy,"Ambery, Cedar wood","Cardamom, Ginger",4.7,hadayiq baris,3.8,122
242,Estee Lauder,Private Collection,461,199.35,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber and Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang and Coriander",4.6,Rose Gallary,3.5,118
243,UNITED COLORS OF BENETTON,United Colors Of Benetton Hot,111,28,100,EDT,Men,Woody,"Sandalwood, Amber, Musk, Vanilla, Oakmoss, Cedar","Apricot, Iris, Water Jasmine, Lily-Of-The-Valley",4,Dior Fragrances,3.7,59
244,UNITED COLORS OF BENETTON,Cold,70,27.2,100,EDT,Men,Spicy,"Patchouli, Vetiver and White Musk","Coriander, Lavender and Geranium",4.4,Perfume World Store,3.6,27
245,CAROLINA HERRERA,Ch Men Sports,285,115,50,EDT,Men,Woody,"Sandalwood, Oak Moss And Vetiver",Sea Notes Mixed With Spices And Aromatic Accords – Sichuan Pepper And Juniper Berries,4.3,Pink Box,4.2,7
246,CHLOE,Nomade,557,290.1,75,EDP,Women,Floral,"Oakmoss, Amberwood, Patchoulli, Sandalwood, White Musk","Freesia, Jasmine, Rose, Peach",4.6,noon,4.2,98.1K
247,EMPORIO ARMANI,Stronger With You,518,154.8,100,EDT,Unisex,Floral,"Chestnut, vanilla, musk",Sage,3.5,Beuatyone1,4.2,1.3K
248,Mancera,Cedrat Boise,413,253,120,EDP,Unisex,"Aromatic,Citrus","Leather,Oakmoss,Vanilla,Woody Notes",Patchouli Leaves,5,Star.perfume,3.7,537
249,Dunhill,Edition,287,108.45,100,EDT,Men,Spicy,"Vetiver, Sandalwood, Cedar And Tonka Bean","Carnation, Geranium, Jasmine And Clary Sage",4.6,AMLAQ,3.9,135
250,CARTIER,Pasha Edition Noir,478,198.55,100,EDT,Men,Oriental,Woody Amber And Cedar Accords,Warm And Cuddly Aromas,4.6,AMLAQ,3.9,135
251,Givenchy,Blue Label,380,143.85,100,EDT,Men,Spicy,"Cedar, Olibanum and Vetiver","Cardamom, Lavender and Pepper",4.8,hadayiq baris,3.8,122
252,Dior,Joy,500,360,90,EDP,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4,Golden Perfumesعطر أصلي 100  %,3.6,113
253,LALIQUE,Encre Noire,140,136,100,EDT,Men,Woody,"Musk, Cashmere Wood",Haitian and Bourbon Vetiver,4.5,Abu Al Tayyeb Perfumes,3.6,76
254,Calvin Klein,CK One,220,98,100,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar, Oakmoss, Green Tea And Green Accord","Nutmeg, Violet, Orris Root, Lily-of-the-valley, Rose, Freesia, And Jasmine",4.5,Spicebomb,3.8,66
255,PACO RABANNE,Black XS,429,310,100,EDT,Men,Woody,Black Amber And Patchouli,Praline And Cinnamon,4.3,Parfume-Stor,3.9,61
256,AZZARO,Pour Homme,225,133,100,EDT,Men,Woody,"Leather, tonka bean, amber, musk, oakmoss","Sandalwood, juniper berries, patchouli, vetiver, cedar, cardamom",5,Instant,3.7,44
257,CERRUTI 1881,Cerruti,117,117,100,EDT,Men,Floral,"Musk, Sandalwood, Patchouli, Oakmoss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-ylang, Rose, Lily-of-the-valley And Cassia",1,London store,3.7,23
258,Rasasi,Relation,126,55,50,EDP,Women,Fresh,Musk and Vanilla,"Bulgarian Rose, Lilac and Jasmine",5,Willow flower,4.3,5
259,ESCADA,Magnetism,395,138.95,75,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver and Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-Of-The-Valley, Rose and Almond Blossom",5,noon,4.2,98.1K
260,BOUCHERON,Pour Homme,340,165.7,100,EDP,Men,Woody,Patchouli and Sandalwood,Coriander and Basil,4.5,noon100% Genuine Product,4.2,98.1K
261,DORALL COLLECTION,Eventful,29,8.3,100,EDT,Women,Woody,Musk,"Rose, Ylang - Ylang",4.5,B.A.G,3.7,14.1K
262,Yves Saint Laurent,Body Kouros,510,229.35,100,EDT,Men,Woody,Benzoin,"Cedar, Sage",5,Star.perfume,3.9,537
263,VERSACE,L'Homme,185,145,100,EDT,Men,Citrus,"Amber,Labdanum,Leather,Musk,Tonka Beans,Vanilla","Carnation,Cedar,Cinnamon,Jasmine,Patchouli,Rose,Sandalwood",4.2,AMLAQ,3.9,135
264,ESCADA,Magnetism,394,139.4,75,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver, Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-of-the-valley, Rose",4.9,AMLAQ,3.9,135
265,BURBERRY,My Burberry Bl,699,255.85,90,EDT,Women,Floral,Amber And Patchouli,Candied Rose And Peach Nectar,5,AMLAQ,3.9,135
266,DAVIDOFF,Cool Water,360,76.95,125,EDT,Men,Woody,"Amber, Cedar, Musk, Oakmoss, Tobacco","Geranium, Jasmine, Neroli, Sandalwood",4.5,hadayiq baris,3.8,122
267,joop,Go,175,103.95,100,EDT,Men,Fresh,Musk and Balsam Fir,"Cypress, Violet and Bourbon Geranium",4.4,Abu Al Tayyeb Perfumes,3.6,111
268,Jacques Bogart,Silver Scent,140,55,100,EDT,Men,Arabian,"Vetiver, Litchi, Tonka Bean and Teak Wood","Cardamom, Rosemary, Nutmeg, Lavender, Coriander and Geranium",4.5,Lady Style,4.3,88
269,Paris Hilton,Fairy Dust,94,94,100,EDP,Women,Floral,"Vanilla, Musk, Pacsuli","Peach,gardenia,lotus",3.7,fajr-perfume,3.8,23
270,PRIVE,Windsor,39,29.95,100,EDP,Women,Fruity,"Vanilla, Blackberry, Amber","Jasmine, Magnalio, Orange Bloosm",3,VIP.PARFUME,4.1,5
271,NARCISO RODRIGUEZ,Narciso,591,284.95,90,EDP,Women,Floral,"Vetiver, White Cedar Extract and Cedar","Musk, Gardenia, White Rose",5,noon,4.2,98.1K
272,Lattafa,Rouat Al Oud,144,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli and Vetiver, Musk",Cardamom and Spicy Notes,4.3,noon,4.2,98.1K
273,Jimmy Choo,jimmy,329,185,100,EDT,Men,Fruity,"Amber, Patchouli, Suede","Geranium, Pineapple Leaf, Pink Pepper",4.4,Star.perfume,3.9,537
274,MONTBLANC,Explorer,12,9.5,2,EDP,Men,Woody,"Vetiver, Leather, Cedarwood","Patchouli, Mahonial, Ambrofix",4.8,Princess of beauty,3.8,467
275,Calvin Klein,Euphoria,268,127.25,100,EDP,Men,Woody,"Black Violet, Liquid Amber, Mahogany, Cream Accords","Black Orchid, Champaca Flower",4.8,King-Perfume,3.6,450
276,Ferrari,Man In Red,235,119.9,100,EDT,Men,Fruity,"Cedar, Tonka Bean and Labdanum","Lavender, Yellow Plum and Orange Blossom",5,top langri,4.4,347
277,Yves Saint Laurent,Cinema,348,192.5,90,EDP,Women,Floral,"Vanilla, Amber, Benzoin, White Musk","Jasmine, Peony, Amaryllis",2,Parfume-Stor,3.9,135
278,Ferrari,Scuderia Red,218,96.65,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss And Vanilla","Jasmine, Geranium, Orris And Nutmeg",5,AMLAQ,3.9,135
279,Jacomo,Silences,158,143.95,100,EDP,Women,Floral,"Woody,musky","Danmask Rose,iris,narcissus",5,AMLAQ,3.9,135
280,jil sander,Jil Sander,310,175,125,EDT,Men,Spicy,"Oakmoss, Cedar, Nutmeg, Woody Notes","Carnation, Geranium, Cinnamon, Patchouli",5,hadayiq baris,3.8,122
281,AMOUAGE,Interlude,854,716.8,100,EDP,Men,Fresh,"Leather, Agarwood Smoke, Patchouli, Sandalwood","Amber, Frankincense, Opoponax, Cistus, Myrrh",4,Perfume Ms,4.2,20
282,GUESS,Marciano,108.95,108.95,100,EDP,Women,Floral,"Powdery Vanilla, Musk And Woody Accord","Floral Rhythm Of Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",5,Luxury,412,7
283,joop,Homme,170,57,125,EDT,Men,Citrus,"Patchouli, sandalwood, tonka beans, vanilla","Cardamom, cinnamon, heliotrope, jasmine, lily of the valley",4.2,Cute Shop,3.7,98
284,Alina Corel,Nice Girl,72,28.45,90,EDP,Women,Fruity,"Amber, Vanilla, Musk","Jasmine, Tuberose",4,noon,4.2,98.1K
285,HUGO BOSS,Hugo Boss,214,95,125,EDT,Men,Fresh,"Patchouli, Fir, Cedar","Carnation, Sage, Geranium, Jasmine",4.5,Cute Shop,4.2,425
286,MINI COLLECTION,Mini Collection No.1075,10,10,25,EDP,Unisex,Musk,wood,vanilla,5,Nuna,3.9,266
287,Ajmal,Rain Drops,234,49.9,50,EDP,Women,Floral,Ambery Woody,Animalistic Floral,5,Dary.Dar,3.9,178
